,URL,Unit_Name,Unit_ID,Apt_Name,No_Rooms,Bathroom,Street,Locality,Region,Longitude,Latitude,Furnished,Area,Floor,Tower,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,Currency,Annual_Price,Monthly_Price,Deposit_Currency,Deposit_Charge,Service_Currency,Service_Charge
5272,https://jendela360.com/sewa-apartemen-kebagusan-city-apartment/kgca015,Kebagusan City Apartment Studio Tower C,kgca015,Kebagusan City Apartment,0,1," Jalan Baung Raya No. 5, RT. 01/03, Kebagusan, Pasar Minggu, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",Kebagusan,Jakarta Selatan,106.835418,-6.307531,1,21.0,Lantai Tengah,Tower C,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,IDR,30000000,30000000,IDR,2500000,IDR,270000
5273,https://jendela360.com/sewa-apartemen-m-town-residence-serpong/mrsc005,M-Town Residence Serpong 2BR View City,mrsc005,M-Town Residence Serpong,2,1,"Jl. Gading Serpong Boulevard, Pakulonan Bar., Klp. Dua, Tangerang, Banten 15810",Serpong,Tangerang,106.632866,-6.242534,1,45.0,Lantai Tengah,Tower Ellis,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,18,IDR,50000000,50000000,IDR,4700000,,
5274,https://jendela360.com/sewa-apartemen-sahid-sudirman-residence/ssrc037,Sahid Sudirman Residence 2BR,ssrc037,Sahid Sudirman Residence,2,1,"Jl. Jend. Sudirman No.86, Karet Tengsin, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250, Indonesia",Sudirman,Jakarta Pusat,106.819529,-6.209877,1,70.0,Lantai Atas,Tower 1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,IDR,180000000,90000000,IDR,15000000,,
5275,https://jendela360.com/sewa-apartemen-season-city-apartment/sscc048,Season City Apartment 2BR View City and Pool,sscc048,Season City Apartment,2,1,"JL. Latumenten Raya, No. 33, Grogol, Jakarta Barat, DKI Jakarta, Indonesia 11460",Grogol,Jakarta Barat,106.796056,-6.153652,0,45.0,Lantai Tengah,Tower A,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,13,IDR,33000000,33000000,IDR,3200000,IDR,680000
5276,https://jendela360.com/sewa-apartemen-cosmo-terrace-thamrin-city/cstb021,Cosmo Terrace - Thamrin City 1BR Tower C,cstb021,Cosmo Terrace - Thamrin City,1,1,"Jl. K.H. Mas Mansyur, Thamrin City, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia 10230",Thamrin,Jakarta Pusat,106.815474,-6.194509,1,42.0,Lantai Atas,Tower C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,IDR,60000000,60000000,IDR,5000000,,
5277,https://jendela360.com/sewa-apartemen-the-mansion-kemayoran-jasmine/tmjc141,The Mansion Kemayoran Jasmine 2BR View city,tmjc141,The Mansion Kemayoran Jasmine,2,1," Jl. Trembesi, Pademangan Tim., Pademangan, Kota Jkt Utara, DKI Jakarta 14410",Kemayoran,Jakarta Pusat,106.854936,-6.147823,0,77.0,Lantai Atas,Tower Capilano,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,IDR,85000000,85000000,IDR,7100000,IDR,1540000
5278,https://jendela360.com/sewa-apartemen-mediterania-garden-residence-1/mg1c074,Mediterania Garden Residence 1 2BR Tower B,mg1c074,Mediterania Garden Residence 1,2,1,"Jalan Tanjung Duren Raya, Grogol Petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Tanjung Duren,Jakarta Barat,106.788342,-6.174634,1,40.0,Lantai Atas,Tower B,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,21,IDR,39000000,39000000,IDR,5000000,IDR,700000
5279,https://jendela360.com/sewa-apartemen-belmont-residence/blmc002,Belmont Residence 2BR Fully Furnished,blmc002,Belmont Residence,2,1,"Jalan Lapangan Bola, Meruya Ilir, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Kebon Jeruk,Jakarta Barat,106.762396,-6.200106,1,44.0,Lantai Tengah,Tower MontBlanc,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,16,IDR,70000000,70000000,IDR,5000000,IDR,600000
5280,https://jendela360.com/sewa-apartemen-thamrin-residence-apartment/thrb035,Thamrin Residence Apartment 1BR View City and Pool,thrb035,Thamrin Residence Apartment,1,1,"Jl. Kebon Kacang Raya, RT. 3/8, Kebon Melati, Tanah Abang, Kb. Melati, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",Thamrin,Jakarta Pusat,106.816842,-6.197352,1,42.0,Lantai Atas,Tower Alamanda,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,IDR,90000000,90000000,IDR,7500000,,
5281,https://jendela360.com/sewa-apartemen-kebagusan-city-apartment/kgcc032,Kebagusan City Apartment 2BR Fully Furnished,kgcc032,Kebagusan City Apartment,2,1," Jalan Baung Raya No. 5, RT. 01/03, Kebagusan, Pasar Minggu, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",Kebagusan,Jakarta Selatan,106.835418,-6.307531,1,36.0,Lantai Rendah,Tower B,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,IDR,60000000,60000000,IDR,5000000,IDR,450000
5282,https://jendela360.com/sewa-apartemen-metro-park-residence/mpra047,Metro Park Residence Studio Non Furnished,mpra047,Metro Park Residence,0,1,"Jl Pilar Mas Utama Raya Kav. 28, Kebon Jeruk, Kedoya Sel., Kb. Jeruk, Kota Jakarta Barat, DKI Jakarta 11520",Kedoya,Jakarta Barat,106.757651,-6.186415,0,30.0,Lantai Rendah,Tower Milan,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,17,IDR,35000000,35000000,IDR,3000000,IDR,500000
5283,https://jendela360.com/sewa-apartemen-bellagio-residence/blgd007,Bellagio Residence The 3BR View City (Selatan),blgd007,Bellagio Residence,3,3,"Jl. Mega Kuningan Barat Kav. E4 No. 3, Kuningan Timur, Setiabudi, Daerah Khusus Ibukota Jakarta 12950",Kuningan,Jakarta Selatan,106.824194,-6.227334,1,95.0,Lantai Rendah,Tower A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,IDR,275400000,275400000,IDR,23000000,,
5284,https://jendela360.com/sewa-apartemen-st-moritz-apartment/stmd037,ST Moritz Apartment 3BR Tower New Ambassador,stmd037,ST Moritz Apartment,3,3,"Jalan Puri Indah Raya Blok T3 No.6, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia 11610",Puri Indah,Jakarta Barat,106.73873,-6.190723,1,157.0,Lantai Atas,Tower New Ambassador,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,IDR,280000000,NA,IDR,23400000,IDR,3410000
5285,https://jendela360.com/sewa-apartemen-springhill-terrace-residence/sphc035,Springhill Terrace Residence 2BR Semi Furnished,sphc035,Springhill Terrace Residence,2,1,"Jl. Benyamin Sueb Blok D7, Pademangan, Jakarta Pusat, DKI Jakarta, Indonesia 10720",Kemayoran,Jakarta Pusat,106.850107,-6.14907,0,58.0,Lantai Atas,Tower Oakwood,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,13,IDR,65000000,65000000,IDR,5900000,IDR,870000
5286,https://jendela360.com/sewa-apartemen-soho-pancoran-apartment/spcc003,Soho Pancoran Apartment 2BR View City,spcc003,Soho Pancoran Apartment,2,2,"Jl. Let. Jend. MT. Haryono Kav. 2-3, RT.1/RW.6, Tebet Bar., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",Pancoran,Jakarta Selatan,106.845254,-6.242801,0,94.0,Lantai Atas,Tower Splendor,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,15,IDR,150000000,150000000,IDR,12500000,,
5287,https://jendela360.com/sewa-apartemen-pakubuwono-view/pvic011,Pakubuwono View 2BR Tower redwood,pvic011,Pakubuwono View,2,2," Jl. Sultan Iskandar Muda No.12, RT.7/RW.1, Kby. Lama Utara, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",Pakubuwono,Jakarta Selatan,106.784659,-6.236629,1,140.0,Lantai Rendah,Tower redwood,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,IDR,420000000,420000000,IDR,36700000,,
5288,https://jendela360.com/sewa-apartemen-maple-park-apartment/mppa006,Maple Park Apartment Studio Tower B,mppa006,Maple Park Apartment,0,1,"Jl. Danau Sunter Barat A3-A4, Sunter, Jakarta Utara, DKI Jakarta, Indonesia 14350",Sunter,Jakarta Utara,106.856909,-6.149478,0,23.0,Lantai Rendah,Tower B,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,16,IDR,25000000,25000000,IDR,2100000,IDR,420000
5289,https://jendela360.com/sewa-apartemen-mediterania-garden-residence-2/mg2b025,Mediterania Garden Residence 2 1BR View City,mg2b025,Mediterania Garden Residence 2,1,1,"RT.12/RW.6, South Tanjung Duren, Grogol petamburan, West Jakarta City",Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,35.0,Lantai Atas,Tower F,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,IDR,42000000,42000000,IDR,3000000,IDR,630000
5290,https://jendela360.com/sewa-apartemen-the-mansion-kemayoran-bougenville/tmbc050,The Mansion Kemayoran Bougenville 2BR View city,tmbc050,The Mansion Kemayoran Bougenville,2,1,"Jl. Trembesi, Kemayoran, Pademangan Tim., Pademangan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14410",Kemayoran,Jakarta Pusat,106.85716,-6.14607,0,49.0,Lantai Atas,Tower Glory,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,IDR,50000000,50000000,IDR,4200000,IDR,980000
5291,https://jendela360.com/sewa-apartemen-puri-orchard-apartment/pucc029,Puri Orchard Apartment 2BR Tower magnolia spring,pucc029,Puri Orchard Apartment,2,2,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740.",Cengkareng,Jakarta Barat,106.729326,-6.166036,0,73.0,Lantai Tengah,Tower magnolia spring,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,16,IDR,83000000,83000000,IDR,7000000,IDR,1100000
5292,https://jendela360.com/sewa-apartemen-menteng-executive-apartment/mtgc001,Menteng Executive Apartment 2BR Fully Furnished,mtgc001,Menteng Executive Apartment,2,2," JL. Pegangsaan Barat, Kavling 6-12, Menteng, RT.16/RW.5, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",Menteng,Jakarta Pusat,106.840335,-6.198186,1,150.0,Lantai Rendah,Tower Palem,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,23,IDR,240000000,240000000,IDR,20000000,,
5293,https://jendela360.com/sewa-apartemen-thamrin-executive-residence/terc017,Thamrin Executive Residence 2BR View City,terc017,Thamrin Executive Residence,2,1,"Jl. Kebon Kacang Raya, Tanah Melati, Jakarta Pusat, DKI Jakarta, Indonesia 10230",Thamrin,Jakarta Pusat,106.816495,-6.195839,1,60.0,Lantai Atas,Tower -,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,22,IDR,150000000,150000000,IDR,12500000,,
