,URL,Unit_ID,No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,AnnualPrice,FurnishedNew
1576,https://jendela360.com/sewa-apartemen-taman-anggrek-residence/trsc068,trsc068,2,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,50,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,15,80000000,Full
1577,https://jendela360.com/sewa-apartemen-the-boutique-at-kemayoran/tbkc005,tbkc005,2,1,Kemayoran,Jakarta Pusat,106.852251,-6.158357,1,55,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,50000000,Full
1578,https://jendela360.com/sewa-apartemen-bintaro-icon-apartment/bica003,bica003,0,1,Bintaro,Tangerang,106.7082,-6.2708,1,27,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,13,84000000,Full
1579,https://jendela360.com/sewa-apartemen-mediterania-gajah-mada-apartment/gmmc011,gmmc011,2,1,Gajah Mada,Jakarta Barat,106.815297,-6.149237,0,41,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,9,55000000,Non
1580,https://jendela360.com/sewa-apartemen-1-park-residence/1pac008,1pac008,2,2,Gandaria,Jakarta Selatan,106.788904,-6.24568,1,91,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,282240000,Full
1581,https://jendela360.com/sewa-apartemen-the-peak-apartment/tprc001,tprc001,2,2,Sudirman,Jakarta Selatan,106.823647,-6.210159,1,232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23,583200000,Full
1582,https://jendela360.com/sewa-apartemen-puri-park-view-apartment/ppva043,ppva043,0,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,25,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,28500000,Full
1583,https://jendela360.com/sewa-apartemen-essence-darmawangsa-apartment/esdc026,esdc026,2,1,Dharmawangsa,Jakarta Selatan,106.804426,-6.258746,1,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,156000000,Full
1584,https://jendela360.com/sewa-apartemen-casablanca-mansion/csmc005,csmc005,2,2,Casablanca,Jakarta Selatan,106.846292,-6.222918,1,50,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,120000000,Full
1585,https://jendela360.com/sewa-apartemen-the-capital-residences/tcrd012,tcrd012,3,2,SCBD,Jakarta Selatan,106.81129,-6.225663,1,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,601100000,Full
1586,https://jendela360.com/sewa-apartemen-city-lofts-apartment/clsc005,clsc005,2,2,Sudirman,Jakarta Pusat,106.818351,-6.208956,1,105,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,17,252000000,Full
