,RFR_RMSE,RFR_R2,XGB_RMSE,XGB_R2,LGB_RMSE,LGB_R2,AVG1_RMSE,AVG1_R2,AVG2_RMSE,AVG2_R2
0,31438794.467730217,0.8940443653642137,32131331.659048118,0.889324947170301,30390916.726026673,0.9009898110827357,30513907.140234675,0.900186811640174,30626787.240984946,0.8994469678325082
1,31808539.925585516,0.8901902217806088,32983614.71812813,0.8819271509083657,30757963.7725385,0.8973240553061022,30890158.212667823,0.8964395782203076,31264763.185617037,0.8939125935622974
2,28863932.505364098,0.8872042288098108,30271361.22256622,0.8759360174717511,28538859.4992485,0.8897305917453541,28404801.24028397,0.8907641162433024,28897387.72402816,0.8869426016652919
3,32851996.026589833,0.8845407149525291,31892666.609354775,0.8911854409178119,32368704.108832072,0.8879128140549926,31533057.03148916,0.8936255094366393,31560893.090553567,0.8934376206732295
4,29234078.917793855,0.9033051873644062,29277022.23326972,0.9030208995863993,27557850.383205555,0.9140758940263314,27916138.699125122,0.9118271170375369,27897293.571240664,0.9119461212036778
5,31194944.559687737,0.8902274893615123,31041974.164617166,0.891301430879699,30562758.048982237,0.8946316334342734,30030328.820925426,0.8982708686564821,30264788.098847333,0.8966761843301083
6,28557692.22370626,0.9143985487031987,30010056.182217043,0.9054702460921077,27982045.65384001,0.9178147591956025,27884940.988437336,0.9183841759655496,28353758.729335103,0.9156167614214494
7,28472131.73879104,0.8941675453870429,28496658.13270361,0.8939851349879767,28178240.40916707,0.896341089410862,27705856.96685644,0.8997874586667015,27828835.40926006,0.8988958541522872
8,34730769.50487496,0.847026966098384,33395215.37967191,0.8585657583838553,33357898.51900903,0.8588816678931687,33058476.900948178,0.8614036638871965,32797304.883664396,0.8635849198012067
9,28536888.480797254,0.9053995888664692,29051418.313773632,0.9019574795559886,28724628.95589702,0.9041507668318003,27731972.9694931,0.9106609512086578,28219434.450393956,0.9074926161233063
10,32931244.991024498,0.8897685900954195,32326082.88854391,0.8937827075148892,31357572.754336778,0.9000520387675541,31448089.10963006,0.899474189033579,31361727.007491373,0.900025554789348
11,29532200.468892194,0.8983723427967774,30332475.095073156,0.8927898267671637,29500637.941911634,0.8985894557478779,28687823.644694794,0.9041006853924938,28944270.904389936,0.9023784886449059
12,31528726.329296973,0.8938591801957348,32859172.74613903,0.8847123371511698,31170322.776011482,0.8962585812484419,31182362.419529967,0.8961784248172124,31530722.72768084,0.8938457381005714
13,32860323.03691878,0.8844699932695225,34304355.37972645,0.8740930605285593,32684093.395696945,0.8857058433774337,32468926.26077305,0.8872057410371151,32902693.465556502,0.8841718701033462
14,32144931.74688496,0.8860522011844635,31456667.356618296,0.8908795008519451,30650792.623470012,0.8963989054595793,30724863.399932716,0.8958975751424723,30553204.373338025,0.8970575608342424
15,33398857.32662091,0.8774546157497102,31842131.55484886,0.8886121027939728,31958096.412472557,0.887799305272869,31742498.941870935,0.8893080678154868,31424075.87165391,0.8915177285293349
16,33020814.937652994,0.872382319194407,33228799.30803719,0.8707696350090317,32286778.61855244,0.8779930121602134,32076232.310467232,0.8795790708596017,32260013.936839398,0.8781952079102224
17,33429718.124680012,0.8798296573435004,32598880.027728315,0.8857286838736022,31712923.85943768,0.8918554993066123,31818258.94998896,0.8911358980980045,31753780.25539073,0.8915766703526358
18,28342869.490734775,0.9039888473181555,28594610.310410086,0.9022757346291721,25678896.066264402,0.9211890162197448,26461387.069213845,0.9163127569643236,26493928.86404921,0.9161067959055148
19,28890555.7731295,0.8839363440313746,30059624.685005624,0.8743531627362049,28351306.651519615,0.8882286201837608,28335891.433216494,0.8883501321712176,28741568.784970738,0.8851303250539456
20,28341166.05880273,0.9145634037178698,28353566.985860907,0.9144886202885891,27855587.572668906,0.917465950133784,27220130.976246495,0.9211886204203074,27396840.92020768,0.9201620302160689
21,29926656.841006752,0.8983581217672709,30226533.493018128,0.8963109343968708,29285723.579606663,0.902665188541984,28936078.365283914,0.9049754945373905,29128944.024151623,0.9037045524041676
22,33191597.150682412,0.8801140198372563,33703249.32858217,0.8763894202977528,31625564.02996114,0.8911599691453729,32158652.505788185,0.8874597741078719,32238073.395414423,0.886903215849299
